stream,catchment,type,replicate,date_deployment,time_deployment,date_sampled,time_sampled,bag_ID,no_disks_DNA,no_disks_FA,no_disks_SIA,no_disks_OMD,no_disks_all,rest_60_g,rest_500_g,OMD_60_mg,OMD_500_mg,comments
WITob,Boye,coarse,rep 1,04/03/2025,16:15,20/03/2025,09:30,L025,1,3,4,5,13,0.356,0.024,13.81,1.15,
WITob,Boye,coarse,rep 2,04/03/2025,16:15,20/03/2025,09:30,L057,1,3,4,5,13,0.356,0.023,17.85,1.20,
WITob,Boye,coarse,rep 3,04/03/2025,16:15,20/03/2025,09:30,L166,1,3,4,5,13,0.932,0.060,16.83,1.16,
BIE1,Kinzig,fine,rep 1,11/03/2025,12:50,26/03/2025,15:30,738,1,3,4,5,13,4.030,1.758,29.03,11.92,
BIE1,Kinzig,fine,rep 2,11/03/2025,12:52,26/03/2025,15:30,537,1,3,4,5,13,3.497,1.371,25.01,7.27,
BIE1,Kinzig,fine,rep 3,11/03/2025,12:53,26/03/2025,15:30,240,1,3,4,5,13,3.803,1.626,21.60,5.33,
BIE1,Kinzig,coarse,rep 1,11/03/2025,12:55,26/03/2025,15:35,L214,1,0,0,0,1,0.751,0.085,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BIE1,Kinzig,coarse,rep 2,11/03/2025,12:57,26/03/2025,15:36,L199,1,3,2,5,11,1.574,0.142,21.12,1.43,
BIE1,Kinzig,coarse,rep 3,11/03/2025,13:00,26/03/2025,15:38,L096,1,1,0,5,7,1.600,0.178,19.17,1.71,
BIE2,Kinzig,fine,rep 1,11/03/2025,13:35,26/03/2025,15:39,543,1,3,4,5,13,2.865,0.475,17.57,1.80,
BIE2,Kinzig,fine,rep 2,11/03/2025,13:37,26/03/2025,15:40,747,1,3,4,5,13,2.948,0.794,20.83,5.07,
BIE2,Kinzig,fine,rep 3,11/03/2025,13:39,26/03/2025,15:41,603,1,3,4,5,13,3.237,0.935,23.72,5.05,
BIE2,Kinzig,coarse,rep 1,11/03/2025,13:41,26/03/2025,15:42,L027,1,0,0,0,1,0.758,0.089,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BIE2,Kinzig,coarse,rep 2,11/03/2025,13:43,26/03/2025,15:43,L150,1,0,0,0,1,0.595,0.057,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BIE2,Kinzig,coarse,rep 3,11/03/2025,13:45,26/03/2025,15:45,L012,0,0,0,0,0,0.324,0.020,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BRA1,Kinzig,fine,rep 1,11/03/2025,12:00,28/03/2025,12:30,629,1,3,4,5,13,2.391,0.260,19.90,2.75,
BRA1,Kinzig,fine,rep 2,11/03/2025,12:02,28/03/2025,12:31,619,1,3,4,5,13,2.904,0.699,17.13,2.80,
BRA1,Kinzig,fine,rep 3,11/03/2025,12:05,28/03/2025,12:32,112,1,3,4,5,13,2.611,0.515,17.29,2.39,
BRA1,Kinzig,coarse,rep 1,11/03/2025,12:07,28/03/2025,12:33,L069,1,0,0,2,3,1.467,0.196,7.90,1.35,
BRA1,Kinzig,coarse,rep 2,11/03/2025,12:09,28/03/2025,12:34,L215,1,3,4,5,13,1.688,0.265,17.42,1.66,
BRA1,Kinzig,coarse,rep 3,11/03/2025,12:12,28/03/2025,12:35,C118,0,0,0,0,0,1.655,0.195,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BRA2,Kinzig,fine,rep 1,11/03/2025,12:30,28/03/2025,12:36,611,1,3,4,5,13,2.948,0.919,15.48,2.69,
BRA2,Kinzig,fine,rep 2,11/03/2025,12:32,28/03/2025,10:00,207,1,3,0,5,9,2.291,0.567,18.82,3.25,
BRA2,Kinzig,fine,rep 3,11/03/2025,12:35,28/03/2025,10:02,754,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bag missing
BRA2,Kinzig,coarse,rep 1,11/03/2025,12:37,28/03/2025,10:04,L017,0,0,0,0,0,1.003,0.204,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BRA2,Kinzig,coarse,rep 2,11/03/2025,12:39,28/03/2025,10:06,L048,1,0,0,0,1,1.220,0.154,0.00,0.00,Only DNA sample disc could be prepared due to limited leaf material.
BRA2,Kinzig,coarse,rep 3,11/03/2025,12:40,28/03/2025,10:07,L314,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bag missing
FAL1,Kinzig,fine,rep 1,10/03/2025,14:40,28/03/2025,16:30,223,1,3,4,5,13,2.558,0.541,22.57,3.58,
FAL1,Kinzig,fine,rep 2,10/03/2025,14:42,28/03/2025,16:32,768,1,3,4,5,13,2.321,0.360,16.49,1.81,
FAL1,Kinzig,fine,rep 3,10/03/2025,14:44,28/03/2025,16:33,135,1,3,3,5,12,2.367,0.435,16.26,1.70,
FAL1,Kinzig,coarse,rep 1,10/03/2025,14:46,28/03/2025,16:34,C115,0,0,0,0,0,0.000,0.000,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
FAL1,Kinzig,coarse,rep 2,10/03/2025,14:48,28/03/2025,16:35,L142,0,0,0,0,0,0.052,0.004,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
FAL1,Kinzig,coarse,rep 3,10/03/2025,14:50,28/03/2025,16:36,L167,0,0,0,0,0,0.000,0.000,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
FAL2,Kinzig,fine,rep 1,10/03/2025,13:00,28/03/2025,16:40,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,fine,rep 2,10/03/2025,13:02,28/03/2025,16:42,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,fine,rep 3,10/03/2025,13:04,28/03/2025,16:43,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,coarse,rep 1,10/03/2025,13:06,28/03/2025,16:44,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,coarse,rep 2,10/03/2025,13:08,28/03/2025,16:45,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,coarse,rep 3,10/03/2025,13:10,28/03/2025,16:46,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
GRU1,Kinzig,fine,rep 1,11/03/2025,11:50,24/03/2025,16:00,731,1,3,4,5,13,2.999,0.545,20.49,3.25,
GRU1,Kinzig,fine,rep 2,11/03/2025,11:52,24/03/2025,16:02,205,1,3,4,5,13,2.821,0.366,17.81,2.35,
GRU1,Kinzig,fine,rep 3,11/03/2025,11:54,24/03/2025,16:03,157,1,3,4,5,13,2.763,0.398,21.62,2.90,
GRU1,Kinzig,coarse,rep 1,11/03/2025,11:56,24/03/2025,16:04,L187,1,0,0,3,4,1.739,0.133,12.48,0.85,
GRU1,Kinzig,coarse,rep 2,11/03/2025,11:58,24/03/2025,16:06,L090,1,3,4,5,13,2.232,0.305,17.92,1.14,
GRU1,Kinzig,coarse,rep 3,11/03/2025,12:00,24/03/2025,16:08,L152,1,3,4,5,13,1.832,0.183,17.19,1.70,
GRU2,Kinzig,fine,rep 1,11/03/2025,11:00,25/03/2025,16:00,146,1,3,4,5,13,2.985,0.642,18.98,2.37,
GRU2,Kinzig,fine,rep 2,11/03/2025,11:02,25/03/2025,16:03,692,1,3,4,5,13,2.849,0.507,13.32,1.49,
GRU2,Kinzig,fine,rep 3,11/03/2025,11:04,25/03/2025,16:07,151,1,3,4,5,13,2.847,0.566,17.79,3.36,
GRU2,Kinzig,coarse,rep 1,11/03/2025,11:06,25/03/2025,16:10,L220,1,3,4,5,13,1.312,0.104,20.20,1.64,
GRU2,Kinzig,coarse,rep 2,11/03/2025,11:08,25/03/2025,16:12,L153,1,0,0,2,3,1.422,0.167,7.20,0.70,
GRU2,Kinzig,coarse,rep 3,11/03/2025,11:10,25/03/2025,16:15,C116,1,3,2,5,11,2.500,0.663,19.27,3.15,
KIN1,Kinzig,fine,rep 1,10/03/2025,12:20,25/03/2025,15:15,256,1,3,4,5,13,2.398,0.240,19.02,1.39,
KIN1,Kinzig,fine,rep 2,10/03/2025,12:22,25/03/2025,15:17,615,1,3,4,5,13,2.600,0.451,20.80,3.77,
KIN1,Kinzig,fine,rep 3,10/03/2025,12:24,25/03/2025,15:18,514,1,3,4,5,13,2.772,0.559,18.96,3.39,
KIN1,Kinzig,coarse,rep 1,10/03/2025,12:26,25/03/2025,15:20,L108,1,0,0,4,5,1.737,0.131,15.57,1.11,
KIN1,Kinzig,coarse,rep 2,10/03/2025,12:28,25/03/2025,15:22,L079,1,3,4,5,13,2.054,0.225,17.73,1.93,
KIN1,Kinzig,coarse,rep 3,10/03/2025,12:30,25/03/2025,15:25,L029,1,3,4,5,13,2.023,0.202,14.77,1.36,
KIN2,Kinzig,fine,rep 1,10/03/2025,11:20,25/03/2025,13:30,090,1,3,4,5,13,2.422,0.310,22.08,2.21,
KIN2,Kinzig,fine,rep 2,10/03/2025,11:22,25/03/2025,13:33,621,1,3,4,5,13,2.648,0.411,16.15,1.82,
KIN2,Kinzig,fine,rep 3,10/03/2025,11:24,25/03/2025,13:34,605,1,3,4,5,13,2.713,0.406,16.02,2.91,
KIN2,Kinzig,coarse,rep 1,10/03/2025,11:26,25/03/2025,13:35,L149,1,3,4,5,13,1.752,0.312,14.42,1.68,
KIN2,Kinzig,coarse,rep 2,10/03/2025,11:28,25/03/2025,13:37,L043,1,3,4,5,13,1.737,0.243,17.27,2.04,
KIN2,Kinzig,coarse,rep 3,10/03/2025,11:30,25/03/2025,13:38,L122,1,3,4,5,13,2.238,0.367,14.67,1.63,
KIN3,Kinzig,fine,rep 1,10/03/2025,13:00,25/03/2025,11:45,018,1,3,4,5,13,2.512,0.294,14.02,1.25,
KIN3,Kinzig,fine,rep 2,10/03/2025,13:02,25/03/2025,11:46,501,1,3,4,5,13,2.640,0.390,17.36,1.98,
KIN3,Kinzig,fine,rep 3,10/03/2025,13:04,25/03/2025,11:48,283,1,3,4,5,13,2.322,0.281,17.33,2.11,
KIN3,Kinzig,coarse,rep 1,10/03/2025,13:06,25/03/2025,11:50,L209,1,0,0,0,1,1.289,0.116,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
KIN3,Kinzig,coarse,rep 2,10/03/2025,13:08,25/03/2025,11:52,C114,1,3,4,5,13,1.663,0.193,14.45,1.22,
KIN3,Kinzig,coarse,rep 3,10/03/2025,13:10,25/03/2025,11:55,L176,1,3,4,5,13,2.100,0.250,14.79,1.13,
KIN4,Kinzig,fine,rep 1,10/03/2025,14:00,27/03/2025,12:30,722,1,3,4,5,13,2.813,0.799,18.76,4.00,
KIN4,Kinzig,fine,rep 2,10/03/2025,14:02,27/03/2025,12:32,769,1,3,4,5,13,2.835,0.776,19.80,3.36,
KIN4,Kinzig,fine,rep 3,10/03/2025,14:04,27/03/2025,12:35,162,1,3,4,5,13,3.520,1.323,20.62,6.35,
KIN4,Kinzig,coarse,rep 1,10/03/2025,14:06,27/03/2025,12:37,L315,1,0,0,2,3,1.357,0.214,6.19,1.08,
KIN4,Kinzig,coarse,rep 2,10/03/2025,14:08,27/03/2025,12:39,L210,1,0,0,2,3,0.754,0.086,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
KIN4,Kinzig,coarse,rep 3,10/03/2025,14:10,27/03/2025,12:40,L053,0,0,0,0,0,0.472,0.043,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
KRE1,Kinzig,fine,rep 1,10/03/2025,11:57,29/03/2025,12:00,627,1,3,4,5,13,2.632,0.544,21.55,3.68,
KRE1,Kinzig,fine,rep 2,10/03/2025,11:59,29/03/2025,12:02,149,1,3,4,5,13,2.427,0.424,17.98,2.70,
KRE1,Kinzig,fine,rep 3,10/03/2025,12:01,29/03/2025,12:03,594,1,3,4,5,13,2.869,0.781,14.38,2.17,
KRE1,Kinzig,coarse,rep 1,10/03/2025,12:03,29/03/2025,12:06,L158,1,0,0,4,5,0.777,0.068,12.10,0.84,
KRE1,Kinzig,coarse,rep 2,10/03/2025,12:05,29/03/2025,12:08,L088,1,0,0,1,2,0.622,0.074,2.83,0.23,
KRE1,Kinzig,coarse,rep 3,10/03/2025,12:07,29/03/2025,12:10,L047,0,0,0,0,0,0.778,0.071,0.00,0.00,no measurable material for analysis.
KRE2,Kinzig,fine,rep 1,10/03/2025,11:00,29/03/2025,10:00,650,1,3,4,5,13,2.130,0.233,15.53,1.55,
KRE2,Kinzig,fine,rep 2,10/03/2025,11:02,29/03/2025,10:02,093,1,3,4,5,13,2.346,0.317,17.26,1.50,
KRE2,Kinzig,fine,rep 3,10/03/2025,11:04,29/03/2025,10:03,714,1,3,4,5,13,2.282,0.260,19.67,1.83,
KRE2,Kinzig,coarse,rep 1,10/03/2025,11:06,29/03/2025,10:05,L023,1,0,0,3,4,0.425,0.046,9.02,0.85,
KRE2,Kinzig,coarse,rep 2,10/03/2025,11:08,29/03/2025,10:07,L119,1,3,4,5,13,0.856,0.125,25.39,3.69,
KRE2,Kinzig,coarse,rep 3,10/03/2025,11:10,29/03/2025,10:10,L077,0,0,0,0,0,0.147,0.013,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
KLI,Kinzig,fine,rep 1,11/03/2025,09:00,27/03/2025,16:30,139,1,3,4,5,13,2.430,0.302,17.78,2.23,
KLI,Kinzig,fine,rep 2,11/03/2025,09:02,27/03/2025,16:32,108,1,3,4,5,13,3.619,1.040,16.95,1.90,
KLI,Kinzig,fine,rep 3,11/03/2025,09:04,27/03/2025,16:33,083,1,0,0,3,4,2.317,0.422,7.94,0.63,
KLI,Kinzig,coarse,rep 1,11/03/2025,09:06,27/03/2025,16:35,L062,0,0,0,0,0,NA,NA,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
KLI,Kinzig,coarse,rep 2,11/03/2025,09:08,27/03/2025,16:37,L101,0,0,0,0,0,NA,NA,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
KLI,Kinzig,coarse,rep 3,11/03/2025,09:10,27/03/2025,16:40,L086,0,0,0,0,0,NA,NA,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
ORB1,Kinzig,fine,rep 1,11/03/2025,14:00,26/03/2025,09:45,048,1,3,4,5,13,3.163,1.025,16.84,2.24,
ORB1,Kinzig,fine,rep 2,11/03/2025,14:02,26/03/2025,09:46,194,1,3,4,5,13,2.855,0.660,17.72,2.76,
ORB1,Kinzig,fine,rep 3,11/03/2025,14:04,26/03/2025,09:47,126,1,3,4,5,13,3.416,0.962,17.47,2.53,
ORB1,Kinzig,coarse,rep 1,11/03/2025,14:06,26/03/2025,09:48,L052,1,3,4,5,13,1.039,0.085,15.77,1.40,
ORB1,Kinzig,coarse,rep 2,11/03/2025,14:08,26/03/2025,09:50,L217,1,0,0,5,6,0.955,0.088,18.31,1.47,
ORB1,Kinzig,coarse,rep 3,11/03/2025,14:10,26/03/2025,09:55,L127,1,0,0,2,3,1.413,0.185,7.21,0.71,
ORB2,Kinzig,fine,rep 1,11/03/2025,15:30,26/03/2025,11:45,567,1,3,4,5,13,4.203,1.796,19.34,5.30,
ORB2,Kinzig,fine,rep 2,11/03/2025,15:32,26/03/2025,11:46,260,1,3,4,5,13,3.866,1.457,19.42,3.85,
ORB2,Kinzig,fine,rep 3,11/03/2025,15:34,26/03/2025,11:47,241,1,3,4,5,13,2.906,0.760,19.83,2.44,
ORB2,Kinzig,coarse,rep 1,11/03/2025,15:36,26/03/2025,11:48,L038,0,0,0,0,0,0.360,0.031,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
ORB2,Kinzig,coarse,rep 2,11/03/2025,15:38,26/03/2025,11:50,L089,0,0,0,0,0,0.000,0.000,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
ORB2,Kinzig,coarse,rep 3,11/03/2025,15:40,26/03/2025,11:55,L311,1,0,0,2,3,0.151,0.010,6.49,0.59,
SAL1,Kinzig,fine,rep 1,11/03/2025,10:30,27/03/2025,11:45,598,1,3,4,5,13,2.228,0.212,16.62,1.30,
SAL1,Kinzig,fine,rep 2,11/03/2025,10:32,27/03/2025,11:47,029,1,3,4,5,13,2.188,0.195,16.88,1.09,
SAL1,Kinzig,fine,rep 3,11/03/2025,10:34,27/03/2025,11:49,234,1,3,4,5,13,2.618,0.405,16.89,1.44,
SAL1,Kinzig,coarse,rep 1,11/03/2025,10:36,27/03/2025,11:51,KAFE,1,0,0,4,5,1.012,0.054,9.03,0.85,
SAL1,Kinzig,coarse,rep 2,11/03/2025,10:38,27/03/2025,11:53,L105,1,3,4,5,13,2.011,0.135,19.07,1.19,
SAL1,Kinzig,coarse,rep 3,11/03/2025,10:40,27/03/2025,11:55,L140,1,0,0,5,6,1.452,0.102,18.35,1.50,
SAL2,Kinzig,fine,rep 1,11/03/2025,11:30,27/03/2025,09:45,748,1,3,4,5,13,2.155,0.163,17.97,1.29,
SAL2,Kinzig,fine,rep 2,11/03/2025,11:32,27/03/2025,09:47,640,1,3,4,5,13,2.373,0.187,15.61,1.22,
SAL2,Kinzig,fine,rep 3,11/03/2025,11:34,27/03/2025,09:49,049,1,3,4,5,13,2.237,0.226,18.15,1.15,
SAL2,Kinzig,coarse,rep 1,11/03/2025,11:36,27/03/2025,09:51,L221,1,0,0,0,1,0.617,0.036,0.00,0.00,no measurable material for analysis.
SAL2,Kinzig,coarse,rep 2,11/03/2025,11:38,27/03/2025,09:53,L223,1,3,3,5,12,2.329,0.320,17.72,2.14,
SAL2,Kinzig,coarse,rep 3,11/03/2025,11:40,27/03/2025,09:55,L028,1,0,0,5,6,1.909,0.157,14.41,1.05,
STE1,Kinzig,fine,rep 1,10/03/2025,15:00,27/03/2025,15:00,520,1,0,0,1,2,2.014,0.230,4.25,0.12,
STE1,Kinzig,fine,rep 2,10/03/2025,15:02,27/03/2025,15:03,042,1,3,4,5,13,2.167,0.231,15.82,1.27,
STE1,Kinzig,fine,rep 3,10/03/2025,15:04,27/03/2025,15:05,227,1,3,4,5,13,2.569,0.291,20.90,1.79,
STE1,Kinzig,coarse,rep 1,10/03/2025,15:06,27/03/2025,15:06,C111,1,0,0,5,6,1.195,0.099,11.85,1.29,
STE1,Kinzig,coarse,rep 2,10/03/2025,15:08,27/03/2025,15:10,L225,1,3,2,5,11,2.065,0.313,13.91,1.17,
STE1,Kinzig,coarse,rep 3,10/03/2025,15:10,27/03/2025,15:15,L075,1,3,4,5,13,1.388,0.164,16.19,1.39,
STE2,Kinzig,fine,rep 1,10/03/2025,16:00,25/03/2025,17:15,202,1,3,4,5,13,2.386,0.276,18.55,1.84,
STE2,Kinzig,fine,rep 2,10/03/2025,16:02,25/03/2025,17:16,141,1,3,4,5,13,2.527,0.238,15.12,1.68,
STE2,Kinzig,fine,rep 3,10/03/2025,16:04,25/03/2025,17:18,080,1,3,4,5,13,2.381,0.310,17.84,1.65,
STE2,Kinzig,coarse,rep 1,10/03/2025,16:06,25/03/2025,17:20,L112,1,3,4,5,13,1.332,0.150,16.64,1.55,
STE2,Kinzig,coarse,rep 2,10/03/2025,16:08,25/03/2025,17:22,L003,1,3,4,5,13,1.875,0.212,15.89,1.57,
STE2,Kinzig,coarse,rep 3,10/03/2025,16:10,25/03/2025,17:25,L319,1,3,4,5,13,1.980,0.247,19.38,2.36,
,,,,,,,,,,,,,,,,,,
