bag_ID,type,initial_mass_g,comment
615,fine,3.506,
256,fine,3.497,
621,fine,3.537,
202,fine,3.503,
151,fine,3.526,
747,fine,3.526,
632,fine,3.521,
619,fine,3.503,
090,fine,3.529,
514,fine,3.535,
692,fine,3.510,
112,fine,3.481,
768,fine,3.537,
543,fine,3.524,
640,fine,3.490,
603,fine,3.531,
139,fine,3.462,
291,fine,3.492,
605,fine,3.515,
205,fine,3.516,
602,fine,3.490,
141,fine,3.515,
537,fine,3.528,
594,fine,3.495,
598,fine,3.473,
234,fine,3.516,
149,fine,3.451,
748,fine,3.495,
101,fine,3.509,
108,fine,3.481,
260,fine,3.504,
049,fine,3.487,
520,fine,3.487,
283,fine,3.534,
227,fine,3.536,
627,fine,3.494,
037,fine,3.530,
501,fine,3.539,
018,fine,3.510,
650,fine,3.516,
126,fine,3.537,
001,fine,3.500,
754,fine,3.523,
042,fine,3.501,
241,fine,3.537,
567,fine,3.526,
731,fine,3.488,
029,fine,3.520,
025,fine,3.533,
629,fine,3.532,
223,fine,3.521,
162,fine,3.517,
048,fine,3.487,
769,fine,3.502,
738,fine,3.516,
240,fine,3.489,
194,fine,3.532,
722,fine,3.493,
135,fine,3.541,
157,fine,3.527,
080,fine,3.478,
207,fine,3.491,
093,fine,3.496,
714,fine,3.477,
083,fine,3.505,
611,fine,3.538,
523,fine,3.514,
672,fine,3.502,
146,fine,3.500,
057,fine,3.515,
003,fine,3.525,
549,fine,3.495,
790,fine,3.508,
099,fine,3.491,
740,fine,3.520,
113,fine,3.514,
656,fine,3.517,
556,fine,3.482,
681,fine,3.518,
522,fine,3.487,
542,fine,3.492,
054,fine,3.461,
296,fine,3.530,
180,fine,3.494,
052,fine,3.508,
680,fine,3.534,
136,fine,3.500,
518,fine,3.462,
030,fine,3.522,
116,fine,3.484,
094,fine,3.540,
604,fine,3.514,
063,fine,3.497,
700,fine,3.460,
055,fine,3.471,
184,fine,3.538,
582,fine,3.495,
723,fine,3.498,
231,fine,3.510,
115,fine,3.494,
508,fine,3.490,
138,fine,3.544,
040,fine,3.482,
676,fine,3.493,
214,fine,3.522,
020,fine,3.540,
678,fine,3.496,
012,fine,3.470,
150,fine,3.505,
124,fine,3.529,
034,fine,3.472,
512,fine,3.530,
007,fine,3.474,
654,fine,3.500,
527,fine,3.495,
675,fine,3.475,
111,fine,3.487,
218,fine,3.499,
589,fine,3.542,
573,fine,3.467,
294,fine,3.515,
131,fine,3.473,
570,fine,3.538,
203,fine,3.543,
133,fine,3.530,
118,fine,3.520,
011,fine,3.488,
265,fine,3.494,
504,fine,3.495,
022,fine,3.530,
016,fine,3.540,
058,fine,3.529,
516,fine,3.533,
736,fine,3.464,
164,fine,3.479,
577,fine,3.462,
609,fine,3.482,
061,fine,3.502,
L158,coarse,3.527,
L176,coarse,3.496,
L093,coarse,3.486,
L105,coarse,3.540,
L319,coarse,3.500,
L023,coarse,3.496,
L314,coarse,3.506,
L150,coarse,3.505,
L127,coarse,3.493,
L017,coarse,3.504,
C113,coarse,3.528,
L215,coarse,3.532,
L069,coarse,3.519,
L027,coarse,3.531,
L220,coarse,3.491,
L089,coarse,3.525,
L052,coarse,3.499,
L048,coarse,3.504,
C116,coarse,3.524,
L012,coarse,3.501,
L112,coarse,3.514,
L223,coarse,3.538,
L311,coarse,3.536,
L149,coarse,3.524,
C111,coarse,3.524,
L077,coarse,3.476,
L136,coarse,3.488,
L214,coarse,3.503,
L096,coarse,3.483,
L153,coarse,3.544,
C114,coarse,3.530,
L028,coarse,3.477,
L152,coarse,3.500,
L043,coarse,3.502,
L187,coarse,3.537,
L122,coarse,3.472,
KÄFE,coarse,3.535,
L047,coarse,3.528,
O607,coarse,3.503,
L210,coarse,3.523,
L315,coarse,3.525,
L053,coarse,3.504,
L141,coarse,3.503,
L108,coarse,3.488,
L140,coarse,3.472,
L088,coarse,3.467,
L029,coarse,3.505,
L167,coarse,3.501,
L142,coarse,3.520,
L137,coarse,3.496,
L038,coarse,3.533,
L003,coarse,3.543,
C115,coarse,3.508,
L179,coarse,3.510,
L209,coarse,3.485,
L173,coarse,3.531,
L199,coarse,3.499,
L101,coarse,3.508,
L035,coarse,3.482,
L208,coarse,3.530,
L119,coarse,3.491,
L221,coarse,3.525,
L225,coarse,3.537,
L042,coarse,3.533,
L079,coarse,3.538,
L086,coarse,3.504,
L062,coarse,3.550,
L217,coarse,3.469,
L075,coarse,3.505,
L184,coarse,3.456,
L147,coarse,3.504,
L076,coarse,3.544,
L110,coarse,3.545,
L030,coarse,3.475,
L066,coarse,3.512,
L129,coarse,3.485,
L145,coarse,3.502,
L138,coarse,3.524,
L126,coarse,3.518,
L183,coarse,3.543,
L139,coarse,3.501,
L064,coarse,3.497,
L197,coarse,3.482,
L044,coarse,3.531,
L192,coarse,3.520,
L203,coarse,3.478,
L128,coarse,3.509,
L081,coarse,3.516,
L190,coarse,3.517,
L118,coarse,3.479,
L178,coarse,3.522,
L036,coarse,3.486,
L213,coarse,3.508,
L156,coarse,3.527,
L159,coarse,3.543,
L014,coarse,3.505,
L200,coarse,3.528,
L007,coarse,3.488,
C120,coarse,3.526,
L013,coarse,3.544,
L113,coarse,3.499,
L049,coarse,3.538,
L172,coarse,3.489,
L202,coarse,3.539,
L008,coarse,3.458,
L146,coarse,3.457,
L204,coarse,3.464,
L059,coarse,3.512,
L082,coarse,3.483,
L057,coarse,3.529,
L083,coarse,3.452,
L171,coarse,3.527,
L109,coarse,3.476,
L317,coarse,3.485,
L073,coarse,3.543,
L125,coarse,3.525,
L041,coarse,3.509,
L195,coarse,3.510,
L160,coarse,3.515,
L227,coarse,3.548,
L166,coarse,3.483,
L011,coarse,3.496,
L320,coarse,3.457,
L071,coarse,3.513,
L318,coarse,3.514,
L120,coarse,3.547,
L039,coarse,3.534,
L067,coarse,3.470,
L313,coarse,3.539,
L005,coarse,3.543,
L074,coarse,3.455,
L015,coarse,3.540,
L025,coarse,3.503,
L099,coarse,3.497,
L148,coarse,3.519,
L201,coarse,3.476,
L078,coarse,3.454,
no tag,coarse,3.534,
