stream,replicate,LandUse,k_micro,k_total,mass_loss_micro,mass_loss_total,k_macro,mass_loss_macro,total_abundance,shannon_diversity,taxa_richness,Gammarids,Trichoptera,Chironomids,Others,ph,water_temp,oxygen_dissolved,oxygen_saturation,redox,conductivity,mean_abundance,mean_diversity,mean_richness
BIE1,rep 1,urban,-0.010082258553914899,Inf,-483.804071729158,100,Inf,583.8040717291581,30,NA,2,20,10,0,NA,7.6,9,11.86,103.130434782609,76.1,138,21,0,1.3333333333333333
BIE1,rep 2,urban,-0.010288880776642506,-0.010884817438183082,-505.3000720324526,-571.8353110664596,-5.959366615405758e-4,-66.53523903400696,0,0,0,0,0,0,0,7.6,9,11.86,103.130434782609,76.1,138,21,0,1.3333333333333333
BIE1,rep 3,urban,-0.009794600458639724,-0.010197969768242634,-455.14273799143206,-495.7462941198772,-4.033693096029099e-4,-40.60355612844512,33,NA,2,30,3,0,NA,7.6,9,11.86,103.130434782609,76.1,138,21,0,1.3333333333333333
BIE2,rep 1,rural,-0.009616237485748297,Inf,-438.0824202904045,100,Inf,538.0824202904046,27,0.5722806988018472,2,7,20,0,0,7.62,8.8,11.79,101.813471502591,76.2,146,39.666666666666664,0.6580031378685094,2.3333333333333335
BIE2,rep 2,rural,-0.009612612819775646,Inf,-437.74121393638393,100,Inf,537.7412139363839,20,0.6931471805599453,2,10,10,0,0,7.62,8.8,11.79,101.813471502591,76.2,146,39.666666666666664,0.6580031378685094,2.3333333333333335
BIE2,rep 3,rural,-0.010580857809055065,Inf,-537.0322629563635,100,Inf,637.0322629563635,72,0.7085815342437357,3,20,50,2,0,7.62,8.8,11.79,101.813471502591,76.2,146,39.666666666666664,0.6580031378685094,2.3333333333333335
BRA1,rep 1,urban,-0.01009560190081688,-0.004595412621018089,-485.1688971452401,-123.4901618834591,0.005500189279798792,361.678735261781,12,NA,2,11,1,0,NA,8.23,10.4,12.48,112.028725314183,81.9,158,18,NA,2
BRA1,rep 2,urban,-0.009069070862120488,-0.009612612819775646,-388.94870531144556,-437.741213936384,-5.435419576551581e-4,-48.79250862493842,21,NA,2,14,0,7,NA,8.23,10.4,12.48,112.028725314183,81.9,158,18,NA,2
BRA1,rep 3,urban,-0.009291962125613819,Inf,-408.3974674906168,100,Inf,508.3974674906168,21,NA,2,20,1,0,NA,8.23,10.4,12.48,112.028725314183,81.9,158,18,NA,2
BRA2,rep 1,rural,-0.008419404426410038,Inf,-336.4029267922812,100,Inf,436.4029267922812,9,NA,3,2,2,5,NA,8.35,7.3,11.98,99.5016611295681,66.6,197,7.666666666666667,0,2
BRA2,rep 2,rural,-0.009543303685010926,Inf,-431.25829320999355,100,Inf,531.2582932099936,14,NA,3,5,2,7,NA,8.35,7.3,11.98,99.5016611295681,66.6,197,7.666666666666667,0,2
FAL1,rep 1,rural,-0.010677969622029713,Inf,-547.9508662850211,100,Inf,647.9508662850211,18,0.2145591551764051,2,17,0,1,0,7.96,12.1,10.2,94.7955390334573,78.7,141,12.333333333333334,0.2994326870083862,2
FAL1,rep 2,rural,-0.00920696104124214,Inf,-400.89092770216473,100,Inf,500.89092770216473,10,0,1,10,0,0,0,7.96,12.1,10.2,94.7955390334573,78.7,141,12.333333333333334,0.2994326870083862,2
FAL1,rep 3,rural,-0.0091600582959974,Inf,-396.7964514539183,100,Inf,496.7964514539183,9,0.6837389058487535,3,7,1,1,0,7.96,12.1,10.2,94.7955390334573,78.7,141,12.333333333333334,0.2994326870083862,2
GRU1,rep 1,rural,-0.010125510995808868,-0.007876115003209018,-488.23975433142505,-296.8229897258976,0.002249395992599851,191.41676460552742,8,NA,2,7,0,1,NA,7.45,11.2,11.36,103.649635036496,69,121,11.333333333333334,0.5825313111858277,2
GRU1,rep 2,rural,-0.009502789726801604,-0.0099709706289718009,-427.5050233157676,-472.54426204647996,-4.681809021701965e-4,-45.039238730712384,11,0.47413931305783735,2,9,0,2,0,7.45,11.2,11.36,103.649635036496,69,121,11.333333333333334,0.5825313111858277,2
GRU1,rep 3,rural,-0.010596140743316863,-0.00951386750548447,-538.7382947264664,-428.52864237782927,0.0010822732378323926,110.20965234863712,15,0.6909233093138181,2,7,0,8,0,7.45,11.2,11.36,103.649635036496,69,121,11.333333333333334,0.5825313111858277,2
GRU2,rep 1,urban,-0.00991278332946405,-0.010547090779366053,-466.7437540281305,-533.2789930621375,-6.343074499020034e-4,-66.53523903400696,23,NA,2,20,0,3,NA,6.91,12,11.49,106.388888888889,64.6,144,56.666666666666664,NA,1.6666666666666667
GRU2,rep 2,urban,-0.007973547640121717,-0.0045516247767576935,-303.64711680630853,-121.78413011335634,0.0034219228633640235,181.86298669295218,80,NA,1,80,0,0,NA,6.91,12,11.49,106.388888888889,64.6,144,56.666666666666664,NA,1.6666666666666667
GRU2,rep 3,urban,-0.009108808753238768,-0.009741673692054214,-392.3607688516511,-450.02464268112374,-6.328649388154459e-4,-57.663873829472664,67,NA,2,60,0,7,NA,6.91,12,11.49,106.388888888889,64.6,144,56.666666666666664,NA,1.6666666666666667
KIN1,rep 1,rural,-0.010253338031090194,-0.009120676432923563,-501.5468021382265,-393.38438791371277,0.001132661598166631,108.16241422451373,6,NA,1,6,0,0,NA,8.86,11.4,12.87,117.857142857143,85.6,359,11,NA,1.3333333333333333
KIN1,rep 2,rural,-0.010055478021174869,-0.009627097708936721,-481.07442089699373,-439.1060393524662,4.2838031223814757e-4,41.96838154452752,17,NA,2,7,0,10,NA,8.86,11.4,12.87,117.857142857143,85.6,359,11,NA,1.3333333333333333
KIN1,rep 3,rural,-0.009543303685010926,-0.008689902036140527,-431.25829320999355,-357.55772074155516,8.534016488703985e-4,73.7005724684384,10,NA,1,0,0,10,NA,8.86,11.4,12.87,117.857142857143,85.6,359,11,NA,1.3333333333333333
KIN2,rep 1,urban,-0.010936818374827031,-0.008397021766714413,-577.9770254388292,-334.6968950221784,0.002539796608112618,243.28013041665076,15,0.6365141682948128,2,5,0,10,0,8.53,10.7,13.44,121.518987341772,77,436,39.333333333333336,0.667623952641528,2.6666666666666665
KIN2,rep 2,urban,-0.009069070862120488,-0.00941713900536043,-388.94870531144556,-419.6572771732949,-3.4806814323994247e-4,-30.70857186184935,39,0.6987337369882431,3,30,4,5,0,8.53,10.7,13.44,121.518987341772,77,436,39.333333333333336,0.667623952641528,2.6666666666666665
KIN2,rep 3,urban,-0.008560614038894935,-0.00853002123159721,-347.3215301209387,-344.9330856427948,3.059280729772462e-5,2.3884444781438674,64,NA,3,20,4,40,NA,8.53,10.7,13.44,121.518987341772,77,436,39.333333333333336,0.667623952641528,2.6666666666666665
KIN3,rep 1,urban,-0.00841046188043116,Inf,-335.7205140842401,100,Inf,435.7205140842401,9,NA,3,4,2,3,NA,8.63,9.7,13.09,115.228873239437,70.9,435,17.666666666666668,NA,2
KIN3,rep 2,urban,-0.009473143560620017,-0.008612680783759253,-424.7753724836032,-351.41600636918525,8.604627768607643e-4,73.35936611441792,29,NA,2,9,0,20,NA,8.63,9.7,13.09,115.228873239437,70.9,435,17.666666666666668,NA,2
KIN3,rep 3,urban,-0.009413385779797397,-0.008795451503849423,-419.31607081927433,-366.0878795920689,6.179342759479733e-4,53.22819122720546,15,NA,1,0,0,15,NA,8.63,9.7,13.09,115.228873239437,70.9,435,17.666666666666668,NA,2
KIN4,rep 1,rural,-0.009238017018304753,-0.003176751789980675,-403.62057853432924,-74.35644690450015,0.006061265228324078,329.2641316298291,12,0.9596147939120492,3,7,2,3,0,7.91,9.5,10.97,96.2280701754386,77.5,438,13.666666666666666,0.6681924775842429,2.3333333333333335
KIN4,rep 2,rural,-0.009853997420908794,Inf,-460.9432460097813,100,Inf,560.9432460097813,8,0.37677016125643675,2,0,1,7,0,7.91,9.5,10.97,96.2280701754386,77.5,438,13.666666666666666,0.6681924775842429,2.3333333333333335
KIN4,rep 3,rural,-0.009045094802970001,Inf,-386.9014671873224,100,Inf,486.9014671873224,21,NA,2,14,7,0,NA,7.91,9.5,10.97,96.2280701754386,77.5,438,13.666666666666666,0.6681924775842429,2.3333333333333335
KRE1,rep 1,urban,-0.010330602789727668,-0.007691364467100282,-509.73575463471974,-284.1983546271373,0.002639238322627386,225.53740000758245,83,NA,3,70,1,12,NA,8.22,9.6,12.11,106.414762741652,80.7,831,87.66666666666667,0.25303220467818377,2.3333333333333335
KRE1,rep 2,urban,-0.009435868244396454,6.843222625231921e-4,-421.3633089433977,11.286347954657462,0.010120190506919646,432.6496568980552,82,0.11466528220290656,2,80,2,0,0,8.22,9.6,12.11,106.414762741652,80.7,831,87.66666666666667,0.25303220467818377,2.3333333333333335
KRE1,rep 3,urban,-0.008154213983734962,Inf,-316.6129582590894,100,Inf,416.6129582590894,98,0.391399127153461,2,85,13,0,0,8.22,9.6,12.11,106.414762741652,80.7,831,87.66666666666667,0.25303220467818377,2.3333333333333335
KRE2,rep 1,rural,-0.008927770833352396,-0.005858291816588094,-377.0064829207264,-178.7655912347879,0.0030694790167643017,198.2408916859385,100,0,1,100,0,0,0,8.01,9.3,10.75,93.9685314685315,85.1,839,83.33333333333333,0,1
KRE2,rep 2,rural,-0.009612612819775646,-0.011440253826156679,-437.741213936384,-640.4177882245897,-0.0018276410063810325,-202.6765742882057,50,NA,1,50,0,0,NA,8.01,9.3,10.75,93.9685314685315,85.1,839,83.33333333333333,0,1
KRE2,rep 3,rural,-0.010321001635330678,Inf,-508.71213557265816,100,Inf,608.7121355726581,100,NA,1,100,0,0,NA,8.01,9.3,10.75,93.9685314685315,85.1,839,83.33333333333333,0,1
ORB1,rep 1,urban,-0.009175735358544547,-0.009084999194982506,-398.1612768700004,-390.3135307275278,9.073616356204163e-5,7.847746142472602,15,NA,2,10,0,5,NA,7.13,8.9,11.72,101.55979202773,70.9,98,21.666666666666668,0.25020121176909393,1.6666666666666667
ORB1,rep 2,urban,-0.009314926466156207,-0.00999136667340106,-410.4447056147401,-474.5915001706032,-6.764402072448536e-4,-64.1467945558631,25,0.5004024235381879,2,20,0,5,0,7.13,8.9,11.72,101.55979202773,70.9,98,21.666666666666668,0.25020121176909393,1.6666666666666667
ORB1,rep 3,urban,-0.009307281935632435,-0.0045516247767576935,-409.762292906699,-121.78413011335634,0.004755657158874741,287.9781627933426,25,0,1,25,0,0,0,7.13,8.9,11.72,101.55979202773,70.9,98,21.666666666666668,0.25020121176909393,1.6666666666666667
ORB2,rep 1,rural,-0.008952243186449544,Inf,-379.0537210448497,100,Inf,479.0537210448497,42,0.19144408195771734,2,40,2,0,0,7.03,8.9,11.61,100.606585788562,74.1,123,28,0.21400176360800732,1.6666666666666667
ORB2,rep 2,rural,-0.009543303685010926,Inf,-431.25829320999367,100,Inf,531.2582932099937,12,0.45056120886630463,2,10,2,0,0,7.03,8.9,11.61,100.606585788562,74.1,123,28,0.21400176360800732,1.6666666666666667
ORB2,rep 3,rural,-0.010175014213698265,-0.00399819719967245,-493.3578496417333,-101.31174887212346,0.0061768170140258155,392.04610076960984,30,0,1,30,0,0,0,7.03,8.9,11.61,100.606585788562,74.1,123,28,0.21400176360800732,1.6666666666666667
SAL1,rep 1,rural,-0.009450807561962572,-0.005865281769403775,-422.72813435947984,-179.10679758880846,0.0035855257925587972,243.62133677067138,0,0,0,0,0,0,NA,8.88,8.1,14.04,119.18505942275,80.3,171,5,0,0.6666666666666666
SAL1,rep 2,rural,-0.009623479927420318,-0.010333799593007844,-438.7648329984456,-510.07696098874015,-7.103196655875253e-4,-71.31212799029453,5,NA,1,0,0,5,NA,8.88,8.1,14.04,119.18505942275,80.3,171,5,0,0.6666666666666666
SAL1,rep 3,rural,-0.009499092356427197,-0.009994758947596433,-427.16381696174705,-474.93270652462377,-4.956665911692356e-4,-47.76888956287672,10,NA,1,0,0,10,NA,8.88,8.1,14.04,119.18505942275,80.3,171,5,0,0.6666666666666666
SAL2,rep 1,urban,-0.009936814605494889,Inf,-469.13219850627445,100,Inf,569.1321985062744,1,0,1,0,1,0,0,8.25,6.1,14.13,114.135702746365,72.6,209,6.333333333333333,0,2
SAL2,rep 2,urban,-0.00909294674245875,-0.009546972568420612,-390.99594343556885,-431.5994995640141,-4.5402582596186167e-4,-40.603556128445234,6,NA,2,0,1,5,NA,8.25,6.1,14.13,114.135702746365,72.6,209,6.333333333333333,0,2
SAL2,rep 3,urban,-0.01004540287478412,-0.008668556155082883,-480.05080183493203,-355.8516889714524,0.0013768467197012371,124.19911286347963,12,NA,3,2,5,5,NA,8.25,6.1,14.13,114.135702746365,72.6,209,6.333333333333333,0,2
STE1,rep 1,rural,-0.001960054662879693,-0.00732460249890926,-40.91822421048641,-260.3139098456989,-0.005364547836029567,-219.3956856352125,3,NA,1,0,0,3,NA,8.19,9.7,12.24,107.746478873239,86.6,313,8.666666666666666,NA,1.6666666666666667
STE1,rep 2,rural,-0.009156132300848609,-0.008397021766714413,-396.4552450998977,-334.6968950221784,7.591105341341955e-4,61.758350077719285,9,NA,2,0,7,2,NA,8.19,9.7,12.24,107.746478873239,86.6,313,8.666666666666666,NA,1.6666666666666667
STE1,rep 3,rural,-0.01071396524161821,-0.009253481941720425,-552.0453425332677,-404.98540395041135,0.0014604832998977857,147.05993858285632,14,NA,2,0,6,8,NA,8.19,9.7,12.24,107.746478873239,86.6,313,8.666666666666666,NA,1.6666666666666667
STE2,rep 1,urban,-0.009947082866504614,-0.009364368181775785,-470.1558175683361,-414.8803882170073,5.82714684728829e-4,55.275429351328796,6,NA,1,0,0,6,NA,8.82,11.5,12.19,111.834862385321,27.9,320,24.333333333333332,0.28908753885783,2
STE2,rep 2,urban,-0.008702671395005763,-0.009065081831791454,-358.5813398036168,-388.6074989574251,-3.6241043678569146e-4,-30.026159153808294,27,0.2640520518256287,2,0,2,25,0,8.82,11.5,12.19,111.834862385321,27.9,320,24.333333333333332,0.28908753885783,2
STE2,rep 3,urban,-0.009766433866974565,-0.010052121612435617,-452.4130871592676,-480.73321454297303,-2.85687745461052e-4,-28.320127383705426,40,0.3141230258900314,3,1,2,37,0,8.82,11.5,12.19,111.834862385321,27.9,320,24.333333333333332,0.28908753885783,2
